channel,onset_index,step,sub_index,expected_tick,actual_tick,grid_error_ticks,expected_us,actual_us,timing_error_us
1,137,9,0,42336,42336,0,220837276.750,220838036.938,760.188
1,138,15,0,42912,42912,0,223837079.125,223837783.938,704.812
1,139,0,0,43008,43008,0,224337042.062,224337801.812,759.750
1,140,3,0,43296,43296,0,225836952.375,225837710.875,758.500
1,141,4,0,43392,43392,0,226336914.125,226337574.312,660.188
1,142,9,0,43872,43872,0,228836754.188,228837512.375,758.188
1,143,15,0,44448,44448,0,231836567.188,231837345.250,778.062
1,144,0,0,44544,44544,0,232336537.500,232337170.250,632.750
1,145,3,0,44832,44832,0,233836434.062,233837084.938,650.875
1,146,4,0,44928,44928,0,234336408.312,234337067.750,659.438
1,147,9,0,45408,45408,0,236836242.062,236836954.188,712.125
1,148,15,0,45984,45984,0,239836055.125,239836759.938,704.812
1,149,0,0,46080,46080,0,240336018.062,240336777.812,759.750
1,150,3,0,46368,46368,0,241835928.062,241836686.875,758.812
1,151,4,0,46464,46464,0,242335890.125,242336550.312,660.188
1,152,9,0,46944,46944,0,244835730.062,244836466.812,736.750
1,153,15,0,47520,47520,0,247835543.188,247836321.250,778.062
1,154,0,0,47616,47616,0,248335513.500,248336146.250,632.750
1,155,3,0,47904,47904,0,249835415.312,249836149.188,733.875
1,156,4,0,48000,48000,0,250335378.125,250336143.375,765.250
1,157,9,0,48480,48480,0,252835218.312,252835957.625,739.312
1,158,15,0,49056,49056,0,255835030.188,255835783.625,753.438
1,159,0,0,49152,49152,0,256334994.125,256335597.312,603.188
1,160,3,0,49440,49440,0,257834898.062,257835524.188,626.125
1,161,4,0,49536,49536,0,258334872.438,258335506.000,633.562
1,162,9,0,50016,50016,0,260834715.000,260835433.250,718.250
1,163,15,0,50592,50592,0,263834518.312,263835297.438,779.125
1,164,0,0,50688,50688,0,264334482.062,264335241.875,759.812
1,165,3,0,50976,50976,0,265834391.875,265835046.812,654.938
1,166,4,0,51072,51072,0,266334360.250,266335069.125,708.875
1,167,9,0,51552,51552,0,268834194.125,268834869.312,675.188
1,168,15,0,52128,52128,0,271834007.188,271834712.000,704.812
1,169,0,0,52224,52224,0,272333970.062,272334729.875,759.812
1,170,3,0,52512,52512,0,273833879.062,273834638.875,759.812
1,171,4,0,52608,52608,0,274333849.000,274334472.125,623.125
1,172,9,0,53088,53088,0,276833682.062,276834418.938,736.875
1,173,15,0,53664,53664,0,279833494.312,279834273.438,779.125
1,174,0,0,53760,53760,0,280333458.062,280334217.875,759.812
1,175,3,0,54048,54048,0,281833367.062,281834126.875,759.812
1,176,4,0,54144,54144,0,282333337.625,282334093.562,755.938
1,177,9,0,54624,54624,0,284833178.938,284833923.125,744.188
1,178,15,0,55200,55200,0,287832978.125,287833761.375,783.250
1,179,0,0,55296,55296,0,288332946.125,288333549.312,603.188
1,180,3,0,55584,55584,0,289832850.125,289833586.438,736.312
1,181,4,0,55680,55680,0,290332818.125,290333426.938,608.812
1,182,9,0,56160,56160,0,292832658.125,292833265.438,607.312
1,183,15,0,56736,56736,0,295832466.188,295833099.812,633.625
1,184,0,0,56832,56832,0,296332434.125,296333173.562,739.438
1,185,3,0,57120,57120,0,297832338.062,297832990.125,652.062
1,186,4,0,57216,57216,0,298332312.500,298332971.938,659.438
2,0,3,0,288,288,0,1851287.062,1852021.438,734.375
2,1,4,0,384,384,0,2351250.062,2351988.750,738.688
2,2,9,0,864,864,0,4851090.125,4851843.312,753.188
2,3,15,0,1440,1440,0,7850902.500,7851634.000,731.500
2,4,0,0,1536,1536,0,8350866.062,8351646.688,780.625
2,5,3,0,1824,1824,0,9850770.062,9851526.125,756.062
2,6,4,0,1920,1920,0,10350745.438,10351404.625,659.188
2,7,9,0,2400,2400,0,12850578.188,12851357.188,779.000
2,8,15,0,2976,2976,0,15850386.125,15851141.312,755.188
2,9,0,0,3072,3072,0,16350354.062,16350978.062,624.000
2,10,3,0,3360,3360,0,17850258.125,17850918.438,660.312
2,11,4,0,3456,3456,0,18350232.250,18350912.500,680.250
2,12,9,0,3936,3936,0,20850066.188,20850752.625,686.438
2,13,15,0,4512,4512,0,23849878.688,23850566.312,687.625
2,14,0,0,4608,4608,0,24349849.500,24350503.062,653.562
2,15,3,0,4896,4896,0,25849752.188,25850382.000,629.812
2,16,4,0,4992,4992,0,26349721.062,26350349.312,628.250
2,17,9,0,5472,5472,0,28849554.125,28850340.125,786.000
2,18,15,0,6048,6048,0,31849366.562,31850098.062,731.500
2,19,0,0,6144,6144,0,32349330.188,32350083.250,753.062
2,20,3,0,6432,6432,0,33849234.062,33849894.562,660.500
2,21,4,0,6528,6528,0,34349208.375,34349888.625,680.250
2,22,9,0,7008,7008,0,36849042.062,36849819.875,777.812
2,23,15,0,7584,7584,0,39848854.688,39849542.312,687.625
2,24,0,0,7680,7680,0,40348825.500,40349479.062,653.562
2,25,3,0,7968,7968,0,41848728.188,41849358.000,629.812
2,26,4,0,8064,8064,0,42348697.062,42349325.312,628.250
2,27,9,0,8544,8544,0,44848530.125,44849316.125,786.000
2,28,15,0,9120,9120,0,47848342.750,47848996.688,653.938
2,29,0,0,9216,9216,0,48348312.500,48348961.250,648.750
2,30,3,0,9504,9504,0,49848210.062,49848870.500,660.438
2,31,4,0,9600,9600,0,50348186.562,50348864.562,678.000
2,32,9,0,10080,10080,0,52848027.562,52848763.500,735.938
2,33,15,0,10656,10656,0,55847831.188,55848591.875,760.688
2,34,0,0,10752,10752,0,56347794.125,56348418.125,624.000
2,35,3,0,11040,11040,0,57847703.500,57848379.250,675.750
2,36,4,0,11136,11136,0,58347672.312,58348352.562,680.250
2,37,9,0,11616,11616,0,60847506.125,60848141.312,635.188
2,38,15,0,12192,12192,0,63847314.062,63848069.250,755.188
2,39,0,0,12288,12288,0,64347282.062,64348062.688,780.625
2,40,3,0,12576,12576,0,65847191.188,65847892.875,701.688
2,41,4,0,12672,12672,0,66347160.750,66347844.375,683.625
2,42,9,0,13152,13152,0,68846994.188,68847706.375,712.188
2,43,15,0,13728,13728,0,71846806.500,71847538.000,731.500
2,44,0,0,13824,13824,0,72346770.062,72347550.688,780.625
2,45,3,0,14112,14112,0,73846679.000,73847459.625,780.625
2,46,4,0,14208,14208,0,74346642.125,74347400.562,758.438
2,47,9,0,14688,14688,0,76846482.062,76847166.062,684.000
2,48,15,0,15264,15264,0,79846294.375,79847082.062,787.688
2,49,0,0,15360,15360,0,80346258.062,80346882.062,624.000
2,50,3,0,15648,15648,0,81846162.125,81846794.438,632.312
2,51,4,0,15744,15744,0,82346130.062,82346921.625,791.562
2,52,9,0,16224,16224,0,84845970.062,84846653.938,683.875
2,53,15,0,16800,16800,0,87845784.125,87846445.812,661.688
2,54,0,0,16896,16896,0,88345755.188,88346438.125,682.938
2,55,3,0,17184,17184,0,89845650.188,89846309.312,659.125
2,56,4,0,17280,17280,0,90345618.125,90346328.438,710.312
2,57,9,0,17760,17760,0,92845458.125,92846092.938,634.812
2,58,15,0,18336,18336,0,95845271.188,95846031.875,760.688
2,59,0,0,18432,18432,0,96345234.125,96345858.125,624.000
2,60,3,0,18720,18720,0,97845143.188,97845923.812,780.625
2,61,4,0,18816,18816,0,98345112.812,98345744.500,631.688
2,62,9,0,19296,19296,0,100844955.562,100845691.500,735.938
2,63,15,0,19872,19872,0,103844759.188,103845519.875,760.688
2,64,0,0,19968,19968,0,104344722.125,104345346.125,624.000
2,65,3,0,20256,20256,0,105844631.125,105845411.750,780.625
2,66,4,0,20352,20352,0,106344594.062,106345249.750,655.688
2,67,9,0,20832,20832,0,108844434.062,108845118.062,684.000
2,68,15,0,21408,21408,0,111844246.750,111844900.688,653.938
2,69,0,0,21504,21504,0,112344216.500,112344865.250,648.750
2,70,3,0,21792,21792,0,113844114.125,113844747.438,633.312
2,71,4,0,21888,21888,0,114344082.062,114344873.625,791.562
2,72,9,0,22368,22368,0,116843922.062,116844605.938,683.875
2,73,15,0,22944,22944,0,119843734.688,119844422.312,687.625
2,74,0,0,23040,23040,0,120343705.500,120344359.062,653.562
2,75,3,0,23328,23328,0,121843607.125,121844387.750,780.625
2,76,4,0,23424,23424,0,122343570.125,122344251.500,681.375
2,77,9,0,23904,23904,0,124843410.062,124844094.250,684.188
2,78,15,0,24480,24480,0,127843218.125,127843973.188,755.062
2,79,0,0,24576,24576,0,128343186.062,128343911.750,725.688
2,80,3,0,24864,24864,0,129843095.312,129843746.938,651.625
2,81,4,0,24960,24960,0,130343064.562,130343718.938,654.375
2,82,9,0,25440,25440,0,132842898.188,132843578.125,679.938
2,83,15,0,26016,26016,0,135842710.438,135843513.875,803.438
2,84,0,0,26112,26112,0,136342674.125,136343298.125,624.000
2,85,3,0,26400,26400,0,137842583.500,137843259.250,675.750
2,86,4,0,26496,26496,0,138342552.312,138343232.562,680.250
2,87,9,0,26976,26976,0,140842386.125,140843069.750,683.625
2,88,15,0,27552,27552,0,143842199.125,143842985.750,786.625
2,89,0,0,27648,27648,0,144342162.062,144342785.938,623.875
2,90,3,0,27936,27936,0,145842070.312,145842852.000,781.688
2,91,4,0,28032,28032,0,146342041.000,146342672.688,631.688
2,92,9,0,28512,28512,0,148841874.062,148842557.938,683.875
2,93,15,0,29088,29088,0,151841687.188,151842473.812,786.625
2,94,0,0,29184,29184,0,152341657.500,152342311.062,653.562
2,95,3,0,29472,29472,0,153841560.188,153842190.000,629.812
2,96,4,0,29568,29568,0,154341529.062,154342157.312,628.250
2,97,9,0,30048,30048,0,156841362.125,156842046.000,683.875
2,98,15,0,30624,30624,0,159841175.125,159841961.750,786.625
2,99,0,0,30720,30720,0,160341138.062,160341761.938,623.875
2,100,3,0,31008,31008,0,161841042.125,161841674.438,632.312
2,101,4,0,31104,31104,0,162341010.062,162341801.625,791.562
2,102,9,0,31584,31584,0,164840850.062,164841533.938,683.875
2,103,15,0,32160,32160,0,167840663.188,167841449.812,786.625
2,104,0,0,32256,32256,0,168340633.500,168341287.062,653.562
2,105,3,0,32544,32544,0,169840536.188,169841166.000,629.812
2,106,4,0,32640,32640,0,170340505.062,170341133.312,628.250
2,107,9,0,33120,33120,0,172840338.125,172841022.000,683.875
2,108,15,0,33696,33696,0,175840146.062,175840901.250,755.188
2,109,0,0,33792,33792,0,176340121.375,176340774.938,653.562
2,110,3,0,34080,34080,0,177840018.062,177840799.938,781.875
2,111,4,0,34176,34176,0,178339986.125,178340667.125,681.000
2,112,9,0,34656,34656,0,180839826.125,180840454.375,628.250
