channel,onset_index,step,sub_index,expected_tick,actual_tick,grid_error_ticks,expected_us,actual_us,timing_error_us
3,1080,0,1,6914,6915,1,15062096.125,15065318.250,3222.125
3,1081,0,2,6916,6917,1,15066259.562,15070310.750,4051.188
3,1083,0,4,6920,6920,0,15074591.500,15076071.188,1479.688
3,1084,0,5,6922,6922,0,15078757.562,15080657.812,1900.250
3,1085,3,0,6948,6948,0,15132915.562,15134506.125,1590.562
3,1086,3,1,6950,6950,0,15137093.625,15138963.938,1870.312
3,1087,3,2,6952,6953,1,15141247.562,15144394.062,3146.500
3,1088,3,3,6954,6955,1,15145423.812,15148443.688,3019.875
3,1089,3,4,6956,6957,1,15149579.500,15153288.750,3709.250
3,1091,4,0,6960,6960,0,15157911.500,15159907.500,1996.000
3,1092,4,1,6962,6963,1,15162077.562,15165123.688,3046.125
3,1093,4,2,6964,6965,1,15166243.562,15169769.312,3525.750
3,1095,4,4,6968,6968,0,15174575.562,15175939.000,1363.438
3,1096,4,5,6970,6971,1,15178741.500,15181063.688,2322.188
3,1097,9,0,7020,7020,0,15282891.500,15284531.750,1640.250
3,1098,9,1,7022,7023,1,15287057.562,15290131.312,3073.750
3,1099,9,2,7024,7025,1,15291223.500,15294822.375,3598.875
3,1101,9,4,7028,7028,0,15299555.500,15300933.125,1377.625
3,1102,9,5,7030,7031,1,15303721.625,15306041.062,2319.438
3,1103,15,0,7092,7092,0,15432867.500,15434477.438,1609.938
3,1104,15,1,7094,7095,1,15437033.938,15439151.062,2117.125
3,1105,15,2,7096,7097,1,15441199.562,15444358.750,3159.188
3,1106,15,3,7098,7099,1,15445369.312,15448414.375,3045.062
3,1107,15,4,7100,7101,1,15449531.500,15453454.125,3922.625
3,1109,0,0,7104,7104,0,15457863.500,15459681.250,1817.750
3,1110,0,1,7106,7107,1,15462029.500,15465080.125,3050.625
3,1111,0,2,7108,7109,1,15466195.500,15469719.750,3524.250
3,1113,0,4,7112,7112,0,15474527.562,15476064.375,1536.812
3,1114,0,5,7114,7115,1,15478694.688,15481172.562,2477.875
3,1115,3,0,7140,7140,0,15532851.500,15534562.312,1710.812
3,1116,3,1,7142,7143,1,15537023.875,15539965.688,2941.812
3,1117,3,2,7144,7145,1,15541183.500,15544628.938,3445.438
3,1119,3,4,7148,7148,0,15549515.562,15550774.750,1259.188
3,1120,3,5,7150,7151,1,15553682.438,15555793.500,2111.062
3,1121,4,0,7152,7153,1,15557847.500,15560892.188,3044.688
3,1122,4,1,7154,7155,1,15562013.688,15566116.625,4102.938
3,1124,4,3,7158,7158,0,15570348.625,15571905.562,1556.938
3,1125,4,4,7160,7160,0,15574511.500,15576334.062,1822.562
3,1126,4,5,7162,7163,1,15578679.500,15581446.500,2767.000
3,1127,9,0,7212,7212,0,15682827.562,15684410.188,1582.625
3,1128,9,1,7214,7214,0,15686993.500,15688840.500,1847.000
3,1129,9,2,7216,7217,1,15691159.500,15694243.125,3083.625
3,1130,9,3,7218,7219,1,15695329.625,15699074.562,3744.938
3,1131,9,4,7220,7221,1,15699491.688,15703308.250,3816.562
3,1132,9,5,7222,7224,2,15703661.250,15708813.062,5151.812
3,1133,15,0,7284,7284,0,15832803.500,15834419.000,1615.500
3,1134,15,1,7286,7287,1,15836969.750,15840039.812,3070.062
3,1135,15,2,7288,7289,1,15841135.500,15844501.250,3365.750
3,1137,15,4,7292,7292,0,15849467.562,15850893.125,1425.562
3,1138,15,5,7294,7295,1,15853634.125,15856010.062,2375.938
3,1139,0,0,7296,7297,1,15857799.500,15860989.938,3190.438
3,1140,0,1,7298,7299,1,15861968.625,15866019.688,4051.062
3,1142,0,3,7302,7302,0,15870297.562,15871778.500,1480.938
3,1143,0,4,7304,7304,0,15874463.500,15876018.188,1554.688
3,1144,0,5,7306,7307,1,15878629.812,15881502.000,2872.188
3,1145,3,0,7332,7332,0,15932787.562,15934346.750,1559.188
3,1146,3,1,7334,7335,1,15936953.500,15939949.312,2995.812
3,1147,3,2,7336,7337,1,15941119.625,15945012.312,3892.688
3,1149,3,4,7340,7340,0,15949451.500,15950959.312,1507.812
3,1150,3,5,7342,7343,1,15953623.875,15956258.938,2635.062
3,1151,4,0,7344,7345,1,15957783.500,15960847.500,3064.000
3,1152,4,1,7346,7347,1,15961949.562,15965304.938,3355.375
3,1154,4,3,7350,7350,0,15970281.562,15971686.188,1404.625
3,1155,4,4,7352,7353,1,15974447.500,15977294.250,2846.750
3,1156,4,5,7354,7355,1,15978613.500,15981792.062,3178.562
3,1157,9,0,7404,7404,0,16082763.500,16084346.750,1583.250
3,1158,9,1,7406,7406,0,16086930.125,16088387.750,1457.625
3,1159,9,2,7408,7409,1,16091095.500,16093993.062,2897.562
3,1160,9,3,7410,7411,1,16095261.500,16098408.625,3147.125
3,1162,9,5,7414,7414,0,16103593.562,16104350.500,756.938
3,1163,15,0,7476,7476,0,16232739.500,16234298.562,1559.062
3,1164,15,1,7478,7478,0,16236907.375,16238732.250,1824.875
3,1165,15,2,7480,7481,1,16241071.500,16244156.125,3084.625
3,1166,15,3,7482,7483,1,16245237.500,16249008.812,3771.312
3,1168,15,5,7486,7486,0,16253577.562,16254571.438,993.875
3,1169,0,0,7488,7488,0,16257735.500,16259691.812,1956.312
3,1170,0,1,7490,7491,1,16261904.875,16264902.000,2997.125
3,1171,0,2,7492,7493,1,16266068.000,16269541.625,3473.625
3,1173,0,4,7496,7496,0,16274399.562,16275699.312,1299.750
3,1174,0,5,7498,7499,1,16278568.688,16281015.125,2446.438
3,1175,3,0,7524,7524,0,16332723.500,16334387.250,1663.750
3,1176,3,1,7526,7527,1,16336889.562,16339802.875,2913.312
3,1177,3,2,7528,7529,1,16341055.500,16343809.188,2753.688
3,1178,3,3,7530,7531,1,16345221.500,16348264.500,3043.000
3,1179,3,4,7532,7533,1,16349387.500,16353486.938,4099.438
3,1181,4,0,7536,7536,0,16357719.562,16359538.688,1819.125
3,1182,4,1,7538,7539,1,16361885.500,16364955.812,3070.312
3,1183,4,2,7540,7541,1,16366051.625,16369765.625,3714.000
3,1185,4,4,7544,7544,0,16374383.688,16375970.312,1586.625
3,1186,4,5,7546,7547,1,16378550.375,16381082.750,2532.375
3,1187,9,0,7596,7596,0,16482699.500,16484285.500,1586.000
3,1188,9,1,7598,7599,1,16486868.562,16489885.062,3016.500
3,1189,9,2,7600,7601,1,16491031.562,16494678.125,3646.562
3,1191,9,4,7604,7604,0,16499363.500,16500873.812,1510.312
3,1192,9,5,7606,7607,1,16503532.438,16506170.438,2638.000
3,1193,15,0,7668,7668,0,16632678.562,16634290.875,1612.312
3,1194,15,1,7670,7671,1,16636842.062,16639712.500,2870.438
3,1195,15,2,7672,7673,1,16641007.500,16643729.750,2722.250
3,1196,15,3,7674,7675,1,16645173.688,16648379.750,3206.062
3,1197,15,4,7676,7677,1,16649339.562,16653431.750,4092.188
3,1199,0,0,7680,7680,0,16657671.562,16659457.938,1786.375
3,1200,0,1,7682,7683,1,16661840.812,16664856.812,3016.000
3,1201,0,2,7684,7685,1,16666003.625,16669886.062,3882.438
3,1203,0,4,7688,7688,0,16674335.500,16675841.062,1505.562
3,1204,0,5,7690,7691,1,16678501.688,16681136.188,2634.500
3,1205,3,0,7716,7716,0,16732659.500,16734298.500,1639.000
3,1206,3,1,7718,7719,1,16736825.625,16739901.062,3075.438
3,1207,3,2,7720,7721,1,16740991.562,16744796.062,3804.500
3,1209,3,4,7724,7724,0,16749323.562,16750911.062,1587.500
3,1210,3,5,7726,7727,1,16753492.188,16756022.000,2529.812
3,1211,4,0,7728,7729,1,16757655.500,16761018.000,3362.500
3,1213,4,2,7732,7732,0,16765987.500,16767387.500,1400.000
3,1214,4,3,7734,7734,0,16770153.500,16771636.188,1482.688
3,1215,4,4,7736,7737,1,16774319.500,16777045.062,2725.562
