channel,kind,tick,us
0,E,2798,6488465.500
0,E,2800,6492631.562
0,E,2802,6496797.688
0,E,2804,6500963.562
0,E,2806,6505130.938
0,E,2868,6634276.312
0,E,2870,6638446.750
0,E,2872,6642607.500
0,E,2874,6646773.625
0,E,2876,6650939.500
0,E,2878,6655105.875
0,E,2880,6659271.500
0,E,2882,6663437.688
0,E,2884,6667603.500
0,E,2886,6671774.000
0,E,2888,6675935.500
0,E,2890,6680102.312
0,E,2916,6734259.500
0,E,2918,6738425.500
0,E,2920,6742591.688
0,E,2922,6746757.562
0,E,2924,6750935.812
0,E,2926,6755089.500
0,E,2928,6759255.500
0,E,2930,6763423.188
0,E,2932,6767587.500
0,E,2934,6771753.688
0,E,2936,6775919.500
0,E,2938,6780088.625
0,E,2988,6884235.562
0,E,2990,6888401.500
0,E,2992,6892567.500
0,E,2994,6896733.500
0,E,2996,6900899.500
0,E,2998,6905065.500
0,E,3060,7034212.062
0,E,3062,7038380.812
0,E,3064,7042543.500
0,E,3066,7046714.938
0,E,3068,7050875.562
0,E,3070,7055044.250
0,E,3072,7059207.500
0,E,3074,7063373.500
0,E,3076,7067539.500
0,E,3078,7071706.250
0,E,3080,7075871.562
0,E,3082,7080046.688
0,E,3108,7134195.500
0,E,3110,7138361.500
0,E,3112,7142527.562
0,E,3114,7146695.688
0,E,3116,7150859.562
0,E,3118,7155025.562
0,E,3120,7159192.125
0,E,3122,7163359.812
0,E,3124,7167523.500
0,E,3126,7171696.875
0,E,3128,7175855.562
0,E,3130,7180021.500
0,E,3180,7284171.562
0,E,3182,7288342.375
0,E,3184,7292503.625
0,E,3186,7296673.125
0,E,3188,7300835.500
0,E,3190,7305001.500
0,E,3252,7434147.562
0,E,3254,7438313.500
0,E,3256,7442483.438
0,E,3258,7446646.875
0,E,3260,7450811.500
0,E,3262,7454981.938
0,E,3264,7459143.562
0,E,3266,7463316.438
0,E,3268,7467475.500
0,E,3270,7471641.625
0,E,3272,7475807.625
0,E,3274,7479973.625
0,E,3300,7534131.562
0,E,3302,7538297.938
0,E,3304,7542463.562
0,E,3306,7546635.562
0,E,3308,7550795.500
0,E,3310,7554962.188
0,E,3312,7559127.562
0,E,3314,7563304.188
0,E,3316,7567459.500
0,E,3318,7571627.000
0,E,3320,7575791.562
0,E,3322,7579961.438
0,E,3372,7684107.500
0,E,3374,7688273.500
0,E,3376,7692439.500
0,E,3378,7696605.938
0,E,3380,7700771.500
0,E,3382,7704937.500
0,E,3444,7834083.500
0,E,3446,7838256.812
0,E,3448,7842415.562
0,E,3450,7846592.062
0,E,3452,7850747.500
0,E,3454,7854913.562
0,E,3456,7859079.500
0,E,3458,7863246.375
0,E,3460,7867411.500
0,E,3462,7871577.500
0,E,3464,7875743.562
0,E,3466,7879915.938
0,E,3492,7934067.562
0,E,3494,7938245.438
0,E,3496,7942399.500
0,E,3498,7946565.500
0,E,3500,7950731.562
0,E,3502,7954897.625
0,E,3504,7959063.500
0,E,3506,7963232.688
0,E,3508,7967395.500
0,E,3510,7971563.312
0,E,3512,7975727.562
0,E,3514,7979904.750
0,E,3564,8084043.500
0,E,3566,8088209.500
0,E,3568,8092375.500
0,E,3570,8096548.125
0,E,3572,8100710.562
0,E,3574,8104873.500
0,E,3636,8234019.500
0,E,3638,8238185.625
0,E,3640,8242352.312
0,E,3642,8246520.875
0,E,3644,8250683.500
0,E,3646,8254850.250
0,E,3648,8259015.500
0,E,3650,8263181.500
0,E,3652,8267350.500
0,E,3654,8271513.500
0,E,3656,8275679.500
0,E,3658,8279846.562
0,E,3684,8334003.500
0,E,3686,8338172.625
0,E,3688,8342335.500
0,E,3690,8346502.438
0,E,3692,8350667.500
0,E,3694,8354833.500
0,E,3696,8358999.500
0,E,3698,8363165.625
0,E,3700,8367331.625
0,E,3702,8371500.125
0,E,3704,8375663.500
0,E,3706,8379834.250
0,E,3756,8483979.500
0,E,3758,8488145.500
0,E,3760,8492311.500
0,E,3762,8496480.562
0,E,3764,8500643.500
0,E,3766,8504819.688
0,E,3828,8633955.500
0,E,3830,8638121.625
0,E,3832,8642287.500
0,E,3834,8646453.562
0,E,3836,8650619.500
