channel,onset_index,step,sub_index,expected_tick,actual_tick,grid_error_ticks,expected_us,actual_us,timing_error_us
5,24,0,0,7680,7680,0,40656094.938,40656857.500,762.562
5,25,3,0,7968,7968,0,42155994.188,42156782.750,788.562
5,26,4,0,8064,8064,0,42655967.438,42656670.312,702.875
5,27,9,0,8544,8544,0,45155807.938,45156491.500,683.562
5,28,15,0,9120,9120,0,48155610.125,48156399.000,788.875
5,29,0,0,9216,9216,0,48655581.500,48656394.812,813.312
5,30,3,0,9504,9504,0,50155482.188,50156270.750,788.562
5,31,4,0,9600,9600,0,50655455.750,50656158.625,702.875
5,32,9,0,10080,10080,0,53155295.375,53156102.000,806.625
5,33,15,0,10656,10656,0,56155098.188,56155880.375,782.188
5,34,0,0,10752,10752,0,56655072.000,56655906.000,834.000
5,35,3,0,11040,11040,0,58154970.062,58155758.438,788.375
5,36,4,0,11136,11136,0,58654946.562,58655804.750,858.188
6,0,3,0,288,288,0,2158554.062,2159336.625,782.562
6,1,4,0,384,384,0,2658524.875,2659253.875,729.000
6,2,9,0,864,865,1,5158367.625,5166506.812,8139.188
6,3,15,0,1440,1440,0,8158173.250,8159007.000,833.750
6,4,0,0,1536,1536,0,8658145.062,8658948.875,803.812
6,5,3,0,1824,1824,0,10158042.062,10158872.625,830.562
6,6,4,0,1920,1920,0,10658014.812,10658856.875,842.062
6,7,9,0,2400,2400,0,13157860.188,13158690.938,830.750
6,8,15,0,2976,2976,0,16157658.125,16158443.188,785.062
6,9,0,0,3072,3072,0,16657630.812,16658441.312,810.500
6,10,3,0,3360,3360,0,18157535.188,18158369.562,834.375
6,11,4,0,3456,3456,0,18657501.625,18658290.562,788.938
6,12,9,0,3936,3936,0,21157348.375,21158056.438,708.062
6,13,15,0,4512,4512,0,24157149.375,24157983.125,833.750
6,14,0,0,4608,4608,0,24657121.188,24657925.000,803.812
6,15,3,0,4896,4896,0,26157018.125,26157752.250,734.125
6,16,4,0,4992,4992,0,26656991.438,26657755.688,764.250
6,17,9,0,5472,5472,0,29156831.375,29157647.688,816.312
6,18,15,0,6048,6048,0,32156637.688,32157478.062,840.375
6,19,0,0,6144,6144,0,32656605.125,32657415.625,810.500
6,20,3,0,6432,6432,0,34156506.062,34157343.875,837.812
6,21,4,0,6528,6528,0,34656479.000,34657262.562,783.562
6,22,9,0,7008,7008,0,37156319.688,37157025.125,705.438
6,23,15,0,7584,7584,0,40156122.062,40156906.125,784.062
6,24,0,0,7680,7680,0,40656094.938,40656879.438,784.500
6,25,3,0,7968,7968,0,42155994.188,42156804.688,810.500
6,26,4,0,8064,8064,0,42655967.438,42656680.000,712.562
6,27,9,0,8544,8544,0,45155807.938,45156513.438,705.500
6,28,15,0,9120,9120,0,48155610.125,48156420.938,810.812
6,29,0,0,9216,9216,0,48655581.500,48656416.750,835.250
6,30,3,0,9504,9504,0,50155482.188,50156292.688,810.500
6,31,4,0,9600,9600,0,50655455.750,50656168.312,712.562
6,32,9,0,10080,10080,0,53155295.375,53156111.688,816.312
6,33,15,0,10656,10656,0,56155098.188,56155902.312,804.125
6,34,0,0,10752,10752,0,56655072.000,56655915.688,843.688
6,35,3,0,11040,11040,0,58154970.062,58155780.375,810.312
6,36,4,0,11136,11136,0,58654946.562,58655814.438,867.875
